patch_name,sci_res2_norm,fov_ratio,sample_id,is_hard,j3_dice,j3_recall,p0_dice,p0_recall,p5_dice,p5_recall,delta_j3_p0_dice,delta_j3_p0_recall,delta_j3_p5_dice,delta_j3_p5_recall,j3_vs_p0,j3_vs_p5
22_y320_x192.png,0.5466936230659485,1.0,22,False,0.7992007997022957,0.8277289144970051,0.7955942628186623,0.8034143776336555,0.8027770640196012,0.8075530222061406,0.0036065368836334377,0.02431453686334961,-0.003576264317305511,0.020175892290864583,tied,tied
22_y320_x256.png,0.5516217947006226,1.0,22,False,0.793969849821413,0.7917594610703816,0.7907902223115685,0.7744988821018993,0.781140862103781,0.7472160314742983,0.0031796275098445737,0.01726057896848232,0.012828987717632079,0.04454342959608337,tied,better
22_y320_x320.png,0.4787483215332031,1.0,22,False,0.8330150650689263,0.8111570214414998,0.8284625162463735,0.8082644594699815,0.8330494041033872,0.8082644594699815,0.004552548822552849,0.002892561971518326,-3.433903446092845e-05,0.002892561971518326,tied,tied
22_y320_x384.png,0.3685938417911529,0.999146,22,False,0.8939125297075761,0.8650271636687813,0.8799762330956978,0.8470117219130348,0.8895298530580763,0.8818987678527344,0.01393629661187823,0.018015441755746542,0.0043826766494997615,-0.01687160418395306,better,tied
22_y384_x64.png,0.5000293254852295,0.917847,22,False,0.7916145187997042,0.7606734770855473,0.7916270225447922,0.7504509876701685,0.7919379851412776,0.7678893519669913,-1.250374508798835e-05,0.010222489415378844,-0.00032346634157331966,-0.007215874881443929,tied,tied
22_y384_x128.png,0.5021559000015259,1.0,22,False,0.8275862072612944,0.8242730685871341,0.8281786945271077,0.8124736586073591,0.8257383969921132,0.8246944760864118,-0.0005924872658132907,0.011799409979775022,0.0018478102691812381,-0.0004214074992776595,tied,tied
22_y384_x192.png,0.5025299191474915,1.0,22,False,0.861810755851241,0.8659370695419388,0.8583261434713958,0.8505471927135868,0.8610204434615694,0.8570451407077799,0.003484612379845209,0.015389876828352023,0.0007903123896716435,0.008891928834158902,tied,tied
22_y384_x256.png,0.5207538604736328,1.0,22,False,0.8666222076248379,0.8441052262289535,0.8628454454745045,0.8213705721943144,0.8607637717797165,0.8272166260889359,0.0037767621503334015,0.022734654034639035,0.005858435845121357,0.016888600140017584,tied,better
22_y384_x320.png,0.5111030340194702,1.0,22,False,0.8559057848009944,0.855609415319912,0.8539445631593024,0.8320637090302503,0.8538011698497232,0.8341412713499263,0.0019612216416919903,0.023545706289661683,0.002104614951271233,0.021468143969985642,tied,tied
22_y384_x384.png,0.4652696251869201,0.877319,22,False,0.8761061949394485,0.8933552055235635,0.8842924434071422,0.885561932380796,0.8752019388626778,0.8888433105461717,-0.008186248467693669,0.007793273142767565,0.0009042560767706931,0.004511894977391795,worse,tied
22_y448_x192.png,0.5547835826873779,0.900513,22,False,0.8455560955668867,0.8366170070321143,0.8448275865890946,0.8241230138196876,0.846043165836827,0.8476693856431071,0.0007285089777920861,0.012493993212426724,-0.0004870702699403262,-0.011052378610992841,tied,tied
22_y448_x256.png,0.5562225580215454,0.890625,22,False,0.8648872338818804,0.8410462742815038,0.8611346319620352,0.8185110631045832,0.8679012348397094,0.8486921495022448,0.0037526019198451666,0.02253521117692059,-0.0030140009578289995,-0.007645875220741005,tied,tied
