dataset,case_id,method,internal_id,dice@0.5,recall@0.5,cldice@0.5,image_path,gt_path,fov_path
HRF (all; manual1; FOV mask if present),13_dr,CDC (proposed; internal J3),J3_joint_detach_false,0.1701844568297065,0.09625088253956905,0.526945243697204,C:\Users\zhang\Desktop\vessel\HRF\all\images\13_dr.JPG,C:\Users\zhang\Desktop\vessel\HRF\all\manual1\13_dr.tif,C:\Users\zhang\Desktop\vessel\HRF\all\mask\13_dr_mask.tif
HRF (all; manual1; FOV mask if present),13_g,Baseline (P0),P0_baseline,0.0030034658131758247,0.0015046233952778526,0.482182879663909,C:\Users\zhang\Desktop\vessel\HRF\all\images\13_g.jpg,C:\Users\zhang\Desktop\vessel\HRF\all\manual1\13_g.tif,C:\Users\zhang\Desktop\vessel\HRF\all\mask\13_g_mask.tif
HRF (all; manual1; FOV mask if present),13_g,CDC (proposed; internal J3),J3_joint_detach_false,0.03157600645225908,0.01613250740640991,0.4686280338093052,C:\Users\zhang\Desktop\vessel\HRF\all\images\13_g.jpg,C:\Users\zhang\Desktop\vessel\HRF\all\manual1\13_g.tif,C:\Users\zhang\Desktop\vessel\HRF\all\mask\13_g_mask.tif
HRF (all; manual1; FOV mask if present),13_g,Baseline (P0),P0_baseline,0.0030034658131758247,0.0015046233952778526,0.482182879663909,C:\Users\zhang\Desktop\vessel\HRF\all\images\13_g.jpg,C:\Users\zhang\Desktop\vessel\HRF\all\manual1\13_g.tif,C:\Users\zhang\Desktop\vessel\HRF\all\mask\13_g_mask.tif
HRF (all; manual1; FOV mask if present),13_g,CDC (proposed; internal J3),J3_joint_detach_false,0.03157600645225908,0.01613250740640991,0.4686280338093052,C:\Users\zhang\Desktop\vessel\HRF\all\images\13_g.jpg,C:\Users\zhang\Desktop\vessel\HRF\all\manual1\13_g.tif,C:\Users\zhang\Desktop\vessel\HRF\all\mask\13_g_mask.tif
HRF (all; manual1; FOV mask if present),13_h,Baseline (P0),P0_baseline,0.017448631590371806,0.008806897191063317,0.47657391813993133,C:\Users\zhang\Desktop\vessel\HRF\all\images\13_h.jpg,C:\Users\zhang\Desktop\vessel\HRF\all\manual1\13_h.tif,C:\Users\zhang\Desktop\vessel\HRF\all\mask\13_h_mask.tif
HRF (all; manual1; FOV mask if present),13_h,CDC (proposed; internal J3),J3_joint_detach_false,0.04332058768748699,0.022215292818797038,0.4327153999661343,C:\Users\zhang\Desktop\vessel\HRF\all\images\13_h.jpg,C:\Users\zhang\Desktop\vessel\HRF\all\manual1\13_h.tif,C:\Users\zhang\Desktop\vessel\HRF\all\mask\13_h_mask.tif
HRF (all; manual1; FOV mask if present),13_h,Baseline (P0),P0_baseline,0.017448631590371806,0.008806897191063317,0.47657391813993133,C:\Users\zhang\Desktop\vessel\HRF\all\images\13_h.jpg,C:\Users\zhang\Desktop\vessel\HRF\all\manual1\13_h.tif,C:\Users\zhang\Desktop\vessel\HRF\all\mask\13_h_mask.tif
HRF (all; manual1; FOV mask if present),13_h,CDC (proposed; internal J3),J3_joint_detach_false,0.04332058768748699,0.022215292818797038,0.4327153999661343,C:\Users\zhang\Desktop\vessel\HRF\all\images\13_h.jpg,C:\Users\zhang\Desktop\vessel\HRF\all\manual1\13_h.tif,C:\Users\zhang\Desktop\vessel\HRF\all\mask\13_h_mask.tif
HRF (all; manual1; FOV mask if present),14_dr,Baseline (P0),P0_baseline,0.16435101681922712,0.09332974846722969,0.5196089617349005,C:\Users\zhang\Desktop\vessel\HRF\all\images\14_dr.JPG,C:\Users\zhang\Desktop\vessel\HRF\all\manual1\14_dr.tif,C:\Users\zhang\Desktop\vessel\HRF\all\mask\14_dr_mask.tif
